ID,pos_effect,top_words,improve
SEAN1,"This course beautifally balanced between diversity and statistics. not only did I learn alot about diversity and its importance, but I also learned how to test it and prove its significance statistically through pure data analysis.",insightful enjoyable interesting detailed beautiful,"maybe combine labs to group projects, simply for students to have less different deadlines for different projects."
SEAN2,,,
SEAN3,"Getting to be able to hear from the guest speakers were an interesting opportunity for me. While they were not from statistical backgrounds, they demonstrated good methodology of studies and surveys to discuss their discipline / work responsibilities.",awareness groupwork positive disjointed applicable,Lab/Homework assignments for statistic majors felt very disjointed with the rest of the course.
SEAN4,"Very much enjoyed guest lectures, & applied problem solving in the group HWs, as well as the positive/fun atmosphere in the class.",easy simple positive fun relevant applicable crossdisciplinary grouporiented,Organization of course materials & documents.
SEAN5,Applications of statistics to enhance and promote diversity on campus.,motivational interesting analytical informative helpful,I think the professor can assign some individual works other than the group work we already have.
SEAN6,"We often talk about diversity, but we rarely look at it from a statistics point of view and how to criticallly analyze the issue with support from data. It is very interesting to be able to look at the issue of diversity quantatively, especially since we are using real datasets. I definitely have a deeper understanding on the issues of diversity surrounding me and the world at large.",mindopening meaningful unique informative fun,
SEAN7,I think the speech are very interesting. Every speaker from the speech are knowledgeble. I really learned a lot from each speech.,stats R group openinternet openbook,I think some of the metrial from class can be PDF format.
HENNA1,This course teaches me how to integrate statistics into the real life situations.,resourceful good meaningful helpful easy,Invite more guest speakers
HENNA2,"This class gives me a new scene of diversity of world and campus that I had never noticed before, which is my favorite part of this class. Besides, the course material shows me what the statistics can be used in real life, I see more possibilities of this major. And of course this class gives me the ability to build model and analysis, which makes it academically helpful to me. And I think the materials provided mostly based on data in real world, which is more practical, more like the real reasearch we'll do in the fture.",special wide interesting practical open,The pace of lectures is a little slow. I hope the professor could cover more material or do some extension based on material in class.
HENNA3,"As stat major student, this course more like a review of all stat class I taken before It's helpful to help me remember what did I learned before.",review complex groupwork homework reactionpaper,Nothing
HENNA4,,,
HENNA5,,,
HENNA6,knowing more about R program which can be used in real society,fun brain math hard good,calculation skill
HENNA7,It helps me learn more about how to integrate social sciences and statistics. I would like to continue using quantitative methods or tools to solve problems in other subject areas or industries.,interactive integrative diverse teamwork notthathard,"I feel like open notes/books/internet makes exams easier than expected, such that it may encourage students to prepare tons of materials to search from instead of actually learning."
JOANNA1,"This class definitely helped me grow in patience in working with other people due to the all of the group work. It also taught me how to study and learn independently, while drawing upon the available resources.",,The organization of the course and course materials. Integration of statistics and diversity felt very minimal.
JOANNA2,One of the speaker taled about the difference in equality and equity,interesting easycourse diversity helpful,The stats part and diversity part for this course seems not well combined that I have trouble to apply stats knowledge to the part of diversity
JOANNA3,"I have never noticed micro-regression before, after learning this concept, I started to pay more attention to the way how I talk to people, try to make people not feeling bad b/c of some of my behaviors.",statistics diversity groupwork regression fun,More conceptual explanation would be better
JOANNA4,Performing multilinear regression on the data to gain some insight of relationship between variables really interested me. And the first guest speaker gives me a lot of thoughts about diversity from the perspective of immigrants,diversity teamwork application interpretation statistics,"The form of teamwork creates a platform, but it doesn't work as expected because people put in less amount of effort in a group work. Better if we can choose who to work with."
JOANNA5,I was able to use R at stat analyses in a research project to consider the effect of data,important complicated goodpace interesting insightful,No stats/non-stats. This should be a non-stats class & concepts/symbol names shouldn't be assumed
JOANNA6,It helps me truly understand what diversity means and review some statistical concepts I learned.,diversed statistics interesting fastpaced intensive,"There are some typos in the lecture notes, and this may leads to confusion for those who are not familiar with statistical concepts."
JOANNA7,,,
